filename,original_source,original_filename,stage,width,height,verified,notes
kaggle_0001.jpg,kaggle,Stage_I_001.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0002.jpg,kaggle,Stage_I_002.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0003.jpg,kaggle,Stage_I_003.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0004.jpg,kaggle,Stage_I_004.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0005.jpg,kaggle,Stage_I_005.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0006.jpg,kaggle,Stage_I_006.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0007.jpg,kaggle,Stage_I_007.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0008.jpg,kaggle,Stage_I_008.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0009.jpg,kaggle,Stage_I_009.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0010.jpg,kaggle,Stage_I_010.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0011.jpg,kaggle,Stage_I_011.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0012.jpg,kaggle,Stage_I_012.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0013.jpg,kaggle,Stage_I_013.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0014.jpg,kaggle,Stage_I_014.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0015.jpg,kaggle,Stage_I_015.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0016.jpg,kaggle,Stage_I_016.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0017.jpg,kaggle,Stage_I_017.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0018.jpg,kaggle,Stage_I_018.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0019.jpg,kaggle,Stage_I_019.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0020.jpg,kaggle,Stage_I_020.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0021.jpg,kaggle,Stage_I_021.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0022.jpg,kaggle,Stage_I_022.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0023.jpg,kaggle,Stage_I_023.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0024.jpg,kaggle,Stage_I_024.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0025.jpg,kaggle,Stage_I_025.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0026.jpg,kaggle,Stage_I_026.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0027.jpg,kaggle,Stage_I_027.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0028.jpg,kaggle,Stage_I_028.png,1.0,224,224,false,kaggle:Stage_I
kaggle_0029.jpg,kaggle,Stage_II_001.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0030.jpg,kaggle,Stage_II_002.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0031.jpg,kaggle,Stage_II_003.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0032.jpg,kaggle,Stage_II_004.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0033.jpg,kaggle,Stage_II_005.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0034.jpg,kaggle,Stage_II_006.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0035.jpg,kaggle,Stage_II_007.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0036.jpg,kaggle,Stage_II_008.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0037.jpg,kaggle,Stage_II_009.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0038.jpg,kaggle,Stage_II_010.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0039.jpg,kaggle,Stage_II_011.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0040.jpg,kaggle,Stage_II_012.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0041.jpg,kaggle,Stage_II_013.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0042.jpg,kaggle,Stage_II_014.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0043.jpg,kaggle,Stage_II_015.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0044.jpg,kaggle,Stage_II_016.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0045.jpg,kaggle,Stage_II_017.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0046.jpg,kaggle,Stage_II_018.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0047.jpg,kaggle,Stage_II_019.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0048.jpg,kaggle,Stage_II_020.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0049.jpg,kaggle,Stage_II_021.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0050.jpg,kaggle,Stage_II_022.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0051.jpg,kaggle,Stage_II_023.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0052.jpg,kaggle,Stage_II_024.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0053.jpg,kaggle,Stage_II_025.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0054.jpg,kaggle,Stage_II_026.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0055.jpg,kaggle,Stage_II_027.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0056.jpg,kaggle,Stage_II_028.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0057.jpg,kaggle,Stage_II_029.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0058.jpg,kaggle,Stage_II_030.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0059.jpg,kaggle,Stage_II_031.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0060.jpg,kaggle,Stage_II_032.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0061.jpg,kaggle,Stage_II_033.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0062.jpg,kaggle,Stage_II_034.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0063.jpg,kaggle,Stage_II_035.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0064.jpg,kaggle,Stage_II_036.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0065.jpg,kaggle,Stage_II_037.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0066.jpg,kaggle,Stage_II_038.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0067.jpg,kaggle,Stage_II_039.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0068.jpg,kaggle,Stage_II_040.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0069.jpg,kaggle,Stage_II_041.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0070.jpg,kaggle,Stage_II_042.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0071.jpg,kaggle,Stage_II_043.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0072.jpg,kaggle,Stage_II_044.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0073.jpg,kaggle,Stage_II_045.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0074.jpg,kaggle,Stage_II_046.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0075.jpg,kaggle,Stage_II_047.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0076.jpg,kaggle,Stage_II_048.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0077.jpg,kaggle,Stage_II_049.png,2.0,224,224,false,kaggle:Stage_II
kaggle_0078.jpg,kaggle,Stage_II_050.jpeg,2.0,224,224,false,kaggle:Stage_II
